drug_name,is_exclusion
biofar vitamines vit c,True
biofar zinc,True
biofar zinc vit c,True
bioferon,True
biolane change,True
biomartal,True
biomartial,True
biomatial,True
bion 3 defense,True
bioritmo,True
bioritmo samp,True
biotic,False
biparfen,False
biplatrix,True
biplatrix x,False
bipreterax,False
biprofenid,False
biprofenid cprimes,False
bisoprolol,False
bisoprolol gh,False
bispirazole,False
bleu,True
bleu de methylene,True
blokium,False
boncipro,False
boostex,True
brimo,False
bromazepam,False
broncathiol,False
bronquidiazina,False
brosse souple pour,True
brossette inter dentaire,True
brossettes interdentaires,True
broxol,False
brufen,False
brulex,False
brustan,False
bruzo kid,False
buccothymol,True
buccothymol de,False
buto asma,False
c,True
c tri,True
c tri injection,True
c vit,True
ca,True
ca c sandoz,True
ca orange,True
cac orange,True
cacit vitamine d3,True
cal c vita,True
calben,True
calci denk,True
calcibronat,True
calcid denk,True
calcipotriol betamethasone calcium,True
calcium active,True
calcium magnesium,True
calcium sandoz,True
calcium vitamine d3,True
calgen,True
calgen pllee,True
calgin,False
calm,True
calmacide,False
calseptine,False
calseptine pastille,False
calsource,True
camvit,True
canaflucan,False
candid,False
candid poudre,False
canne anglaise,True
captopril,False
captum free style,True
cara flucau,True
carbactive,False
carbigen,False
carbo,False
carbocisteine,False
carbocisteine arrow,False
carbosylane,False
carbosymag,False
carbotoux,False
cardox,False
carnet,True
carnet de sante,True
carteol,False
cartilamine,False
catacol,False
cataflam,False
catheter,True
catheter bleu,True
catheter bleu sparadra,True
catheter jaune,True
catheter rose,True
catheter rose bleu,True
catheters jaunes,True
cebrotonin,False
cefexim,False
cefexol,False
ceficap,False
cefidis,False
cefim,False
cefixim,False
cefixim gh,False
cefixime,False
cefolac,False
ceftri,False
celebid,False
celebrex,False
celestene,False
celestene goutts,False
celestene ou betnovex,False
celestene ou equivalent,False
celliflore,True
celofen,False
cepodem,False
cerazette,True
certherpes,True
cerulyse,False
cetafor,False
cetamyl,False
cetraxal,False
cetraxal otico,False
cetrizine,False
cevit,True
cexolan,False
cezin,False
chambre d'hinalateur masque,True
chambre d'inhalation asle spicer,True
chambre d'inhalation avec masque adapte,True
chambre d'inhalation masque:,True
chambre d'inhalation rossmax orange,True
chambred'inhalation,True
charbon belloc,False
chericof,False
chibro cadron,False
chibro cadron collyr,False
chibroxine,False
chlorhexidine,True
chlorhexidine aqueuse,True
chlorhydrate d'heptaminol,False
chlorhydrate heptaminol,False
chlorure de sodium,True
chlorure de sodium pna,True
choltec,False
chondrogen,False
cica m,True
cica pmd,True
cicalfate,True
cicaplast,True
cicaplast baume,True
cifran,False
cifran ct,False
cifran ubi,False
ciloxan,False
ciloxan ou rifamycine,False
ciloxan pdel,False
ciloxan pomd,False
cimelid,False
cinet,False
cipro,False
cipro denk,False
ciproas,False
ciproas tz,False
ciprofloxaciine,False
ciprofloxacin,False
ciprofloxacin accord pellic,False
ciprofloxacine,False
ciprofloxacine accord,False
ciprofloxacine ubigen,False
cipromed,False
cipromed tz ciprozol,False
ciprozole,False
ciptin,False
citrate de betaine,False
clamox,False
clamoxyl,False
clarithro gh,False
claritron,False
clarityne,False
clariva,False
clartec,False
clarus,False
clavam,False
clavicin xr,False
clavuject,False
clavumoccid,False
cleanace mousant,True
cleanance,True
cleanance hydra d'avene,True
cledomox,False
cliptol,False
cliptol crem,False
clobex,False
clomid,False
clomifex,False
clomigen,False
clomilen,False
clotri denk,False
clotrimazol,False
co amoxiclav,False
co aprovel,False
co arinate,False
co avazir,False
coartem,False
codoliprane,False
cofantrine,False
colchicine,False
colchicine ou colchimax,False
colcibra,False
cold cream naturel,True
colicalmil,False
colinil,False
collier cervical en mousse,True
colosar denk,False
colseptine,False
combifrinil,False
combimal,False
combinal,False
compres sterile,True
compreses steriles compress compresse,True
compreses x cm,True
compresse sterile,True
compresse steriles pm compresses,True
compresse x,True
compresses steriles,True
compresses steriles pm,True
compresses x cm,True
conasec,False
conceptio,True
conceptio femme,True
concor amlo,False
constilax,True
constilex,True
coquelusedal,False
coquelusedal suppos,False
cordarone,False
corneregel,False
corneregel oph,False
correctol,False
cortancyl,False
cortis,False
corvasal,False
cotareg,False
cotipred,False
cotipred ou predni,False
coton,True
coton alcool pedia,False
cotrex,False
cotri,False
coveram,False
coversyl,False
coxiwood,False
cozaar denk,False
crestor,False
croisard,False
croiscard,False
cromax,False
cromolex,False
crosscal,False
curacne,True
curacne ge,True
curacne molle,True
curam,False
curam st,False
cure flash,True
curtec,False
cutacnyl,True
cuterpes,False
cuticell,True
cyclo,False
cyclodex,False
cystine b6,True
cyteal,True
cyteal gm,True
cyteal grd format,True
cyteal ou till,True
cyteal pm,True
cyteal savon,True
cyteal savon liquide,True
cyvax,False
dacryoserum,True
dacryoserum dosette de,True
dacryoserum lavage,True
dacryoserum p lavage opht,True
daflon,False
dafrazol,False
dakel kit,False
dakin,True
dakin cooper pm,True
dakin cooper stabilise,True
dakin pm,True
daktarin,False
daktarin buccal,False
daktarin emulgel,False
dap,False
daxol,True
dazel kit,False
de change,True
debridat,False
decoderm,False
decoderm tri,False
decontractyl baume ,True
defal,False
defal gts,False
deller,False
depakine,False
depakine chrono,False
depiwhite acm,True
dermatose,False
dermia d,False
dermia salicia,False
dermia salicia crem,False
dermobacter,True
dermobacter moussant,False
dermofix,False
dermosalic,False
dermosone,False
dermoval,False
deroxat,True
desarrol,True
deslo deslor,False
deslora,False
deslora bgr,False
deslora denk,False
deslora gh,False
desloratadine,False
desloratadine bgr,False
desloratadine biogaran,False
desloratadine gh,False
desomedine,False
desyrel,True
detensiel,False
detensirel,False
dexaprin,False
dexchlo,False
dexchlor dexchlorpheniramine,False
dexeryl,True
dexerylcreme,True
dexorich,True
dexpure,False
dextro,True
dexyane,True
dexyane baume,True
dexyane baumme emollient,True
dexyane med,True
diamicron,False
diamox,False
diane cdrg,False
diantalex,False
diastop,False
diazepam,True
dicetel,False
diclaval,False
diclo,False
diclo denk,False
diclo pharma dicloced diclofenac diclowal,False
dicynone,False
dicynone ou equivalent,False
dietaz,False
difenasol,False
differine,True
diflucan,False
diflustero,False
digest haleine,True
dipara,False
diprolene,False
diprosalic,False
diprosone,False
diprostene,False
diprostene inectable en seringue pre remplie,False
dislep,False
dislepamp,False
dismigras,False
dispamox,False
dispamox dis,False
distem,False
dolamine,False
dolbufen,False
dolcare,False
dolex,False
dolimex,False
dolimex gorge gingembre,True
doliprane,False
doliprane codeine,False
doliprane effer,False
doliprane efferalgan,False
doliprane gr,False
doliprane gram efferves,False
doliprane pediatrique,False
doliprane sach,False
doliprane sht,False
doliprane sqchets,False
doliprane vit c,False
dolipraneg,False
dolipraneg cp,False
dolodent,False
doloforte,False
doloforte denk,False
doloforte denk ou t dol,False
dologan,False
dologan denk,False
dologel,False
dologel buccal,False
dologel gingival,False
dolormin,False
doloseptyl,True
dolospasm,False
dolotren,False
dolowin,False
dompawood,False
donormyl,True
dontomycine,False
dornomyl,True
dostinex,True
dotarem,False
doulerex,False
doxy,False
doxy alto,False
doxy denk,False
doxyatco doxycycline,False
drenoxol,False
drill,False
drill pastille sans sucre,False
drill pastilles,False
drill pastilles sans sucre,False
drill rhume,False
drill rhume ou rinogrip sans sucre,False
drill toux seche,False
drillpastille,False
duotrav,False
duphalac,True
duphalac sac,True
duphalac sacht,True
duphaston,False
dupholac,True
duspatalin,False
dycinone,False
dyldes,False
dynamogen,True
dynamogne,True
dynapar,False
dynapar ec,False
dynapar ou genforte,False
dynapar paracetamol diclo,False
dynapar qps,False
dysen,False
e upsa c,True
easetec,False
easy mom grossesse,True
eau oxygene,True
econazole,False
ecorex,False
ecorex lot,False
effaclar,True
effaclar duo m,True
effaclar duo spf,True
effaclar moussant,True
effederm,True
effederm,True
effederm pour cent,True
effeeralgan,False
efferalg cod,False
efferalgan,False
efferalgan cod,False
efferalgan codeine,False
efferalgan effer,False
efferalgan effert,False
efferalgan mg,False
efferalgan ou doliprane,False
efferalgan p,False
efferalgan ped,False
efferalgan pedaitrique,False
efferalgan pediatric,False
efferalgan pediatrique,False
efferalgan tab,False
efferalgan vit c,False
efferalgan vitamine c,False
efferalgann,False
efirub,False
efirub sh,False
eflavyl,True
elastro m,True
elastroplast,True
elgydium blancheur,True
elgydium blancheur pate dentifrice,True
elgydium gencive sensible,True
elgydium multi action,True
elgydium souple,True
elgydium souple brosse a dent,True
elica,False
elica pmd,False
ellya,True
ellya intima,True
ellya intime,True
eludril,True
eludril de,True
eludril pro,True
eludril pro de,True
emcof,False
emla,False
empagliflozin,False
enfagrip,False
engerix,False
enhacin,False
enhancin,False
enrouex,False
entamizol ds,False
entamizole,False
entamizole ds,False
enteral,False
eosine,True
eosine aqueuse,True
epiduo,True
eric favre special kid,True
ery,False
eryfluid,True
eryfluid lot,True
erythro,False
erythromycine,False
escodyne,True
esi melatonine pure,True
esidrex,False
esomecro,False
esomed,False
esomeprazole,False
esomeral,False
ether,True
eucarbon,False
euphon,True
euphon menthol,True
euphon pastille,True
euphon pastilles maux de gorge,True
euphytose,True
eurythmic,False
euvax ou engerix,False
exforge,False
exoderil,False
exofene,True
exofene pdr,True
exomuc,False
ext,False
exten,False
exten iu,False
extencilline,False
exxib,False
ezomuc,False
fansidar,False
faside,False
fazol,False
febrex tm,False
febrilex,False
febstat,False
fedate,True
feldene,False
femifer,True
femigeston,False
fenugrec vz,True
fer,True
fercefol,True
feremi,True
ferfoltone,True
fero denk,True
ferox,True
ferplex,True
ferrex,True
ferro denk,True
ferrox,True
fertilo,True
fervex,False
fervex enft,False
fervex sat,False
fervex schet,False
fervex sht,False
fervex st,False
ferzol,True
fevastin,False
fexford,True
fil de suture,True
fil dentaire sensodyne,True
fil en nylon,True
fils cheveux,True
fixim,False
flagentyl,False
flagyl,False
flagyl ov,False
flagyl pellic,False
flagyl perf,False
flatoril,False
flatuplexin,False
flatuplexin ch,False
flatuplexin sacht,False
fleming,False
flexdol,False
flexpar,False
flexpro extra,False
flixonase,False
flixonase doses,False
flixonase ou nasoaldo,False
flixotide,False
flixotide d,False
flixotide dose,False
flixotide doses,False
flixotide nasal,False
flixotide ou equivalent,False
florine,False
flotac,False
flub,False
flubenda,False
flubenda gh flubendazole,False
flubendazole gh,False
fluca,False
flucano denk flucanozole,False
flucap,False
flucazol,False
flucazol pdr flucazole,False
flucess,False
fluco,False
flucogen,False
flucon,False
flucona denk,False
fluconazole,False
fludex,False
fluditec,False
fludol,False
fludol dm,False
fludol exp,False
fludol expectorant,False
fludol p,False
fludolsp,False
flugen,False
flumicid,False
fluocaril,True
fluocarill de,False
fluomizin,False
flur,False
flustaph,False
flutiair,False
fluticasone,False
fluticasone propionate dose sus p,False
fluticasone propionate doses p inhal,False
fluvermal,True
fluxonase nasales,False
folifer,True
folligraf,True
forlax,True
forlax sach,True
formate,False
fortaline,True
fortil citron miel,True
fortrans,True
forxiga,False
frakidex,False
frakidex ou tobradex,False
fridial,False
fructines,True
fructose,True
fucidine,False
fucidine pour cent,False
fucidine t,False
fucithalmic,False
fuclo,False
fumafer,True
fumafer pellicule,False
fusibact,False
fusidine,False
galvus,False
galvusmet,False
gamalate,True
gant,True
gants steriles,True
gardenal,False
gaspral,False
gaspral dislep,False
gastricid,False
gastrogel,False
gatistar,False
gaviscon,False
gaviscon ou alginate de sodium,False
geltim,False
gelusil,False
genacid,False
genclav,False
genclav sh,False
genclav sht,False
genes,True
genes fer,True
genes vit,True
genes vit c,True
genes vit magnesium,True
genes vit multi,True
genes vit zinc,True
genfort,False
genforte,False
genforte gh,False
genkid essentiel,True
genoulliere,True
genpar,False
genpar perf,False
genset,False
genset cop,False
genset ou bilaxten,False
gensil,False
gensil dentifrice,False
gensil huile,False
gensil lactation,False
genskin,True
genskin eclat,True
genskin poudre,True
genskin savon,True
genskin savon exfoliant,True
genskin solaire,True
genskin vit e,True
genta,False
gentalline gentasol,False
genvas,False
gestane,True
gestane cap,True
gestarelle,True
gestarelle allaitement,True
gestarelle grossesse,True
ginkocer,False
glide,False
glide m,False
gluconate de calcium lavoisier,False
glucophage,False
glucose,False
glucose aguettant,False
glucovance,False
glyss,True
glyss supp,True
gommage yafa,True
gorpils,True
gorpils citron,True
gorpils citron miel,True
gorpils menthol eucalyptus,True
gorpils orange,True
gorpils pastille,True
gorpils pastilles,True
goupillon,True
gramocef,False
gramocef o,False
gripex,False
gripex jour,False
gripex sach,False
gripex schet,False
gripex sht,False
grippe water,False
grisefuline,False
griseo,False
griseo salicylee,False
griseofulvine,False
griseopharm,False
guaflex,False
guarana,True
guronsan,True
gvia m,False
gyala,False
gynanfort,False
gynanfort ov,False
gynanfort ovle,False
gynecline,False
gyno mycolex,False
gynomax,False
gynomax ovl gynophilus,False
gynospan,False
haemup,True
haldol,True
haldol decanoas,True
haleflu,False
halflu,False
halopara,False
halospa s,False
hapenz,True
havrix,False
havrix nourrisson et enfant,False
havrix ou avaxim,False
havrix ou avaxim pediatrique,False
hc nex,False
hec ou homeoplasmine,True
helicidine,False
helicocin,False
helmintox,True
helmintox sach,True
hemafer,True
hemafer effervescents,True
hemafer fol,True
